 v-sweep         v(Vout)         v-sweep         v(V2)           v-sweep         v(V1)          
 0.00000000e+00  2.21403652e-02  0.00000000e+00  5.00000000e-01  0.00000000e+00  0.00000000e+00 
 1.00000000e-02  2.21403923e-02  1.00000000e-02  5.00000000e-01  1.00000000e-02  1.00000000e-02 
 2.00000000e-02  2.21404131e-02  2.00000000e-02  5.00000000e-01  2.00000000e-02  2.00000000e-02 
 3.00000000e-02  2.21404316e-02  3.00000000e-02  5.00000000e-01  3.00000000e-02  3.00000000e-02 
 4.00000000e-02  2.21404603e-02  4.00000000e-02  5.00000000e-01  4.00000000e-02  4.00000000e-02 
 5.00000000e-02  2.21404967e-02  5.00000000e-02  5.00000000e-01  5.00000000e-02  5.00000000e-02 
 6.00000000e-02  2.21405459e-02  6.00000000e-02  5.00000000e-01  6.00000000e-02  6.00000000e-02 
 7.00000000e-02  2.21406069e-02  7.00000000e-02  5.00000000e-01  7.00000000e-02  7.00000000e-02 
 8.00000000e-02  2.21406886e-02  8.00000000e-02  5.00000000e-01  8.00000000e-02  8.00000000e-02 
 9.00000000e-02  2.21407985e-02  9.00000000e-02  5.00000000e-01  9.00000000e-02  9.00000000e-02 
 1.00000000e-01  2.21409374e-02  1.00000000e-01  5.00000000e-01  1.00000000e-01  1.00000000e-01 
 1.10000000e-01  2.21411220e-02  1.10000000e-01  5.00000000e-01  1.10000000e-01  1.10000000e-01 
 1.20000000e-01  2.21413625e-02  1.20000000e-01  5.00000000e-01  1.20000000e-01  1.20000000e-01 
 1.30000000e-01  2.21416792e-02  1.30000000e-01  5.00000000e-01  1.30000000e-01  1.30000000e-01 
 1.40000000e-01  2.21420902e-02  1.40000000e-01  5.00000000e-01  1.40000000e-01  1.40000000e-01 
 1.50000000e-01  2.21426304e-02  1.50000000e-01  5.00000000e-01  1.50000000e-01  1.50000000e-01 
 1.60000000e-01  2.21433356e-02  1.60000000e-01  5.00000000e-01  1.60000000e-01  1.60000000e-01 
 1.70000000e-01  2.21442582e-02  1.70000000e-01  5.00000000e-01  1.70000000e-01  1.70000000e-01 
 1.80000000e-01  2.21454674e-02  1.80000000e-01  5.00000000e-01  1.80000000e-01  1.80000000e-01 
 1.90000000e-01  2.21470481e-02  1.90000000e-01  5.00000000e-01  1.90000000e-01  1.90000000e-01 
 2.00000000e-01  2.21491154e-02  2.00000000e-01  5.00000000e-01  2.00000000e-01  2.00000000e-01 
 2.10000000e-01  2.21518216e-02  2.10000000e-01  5.00000000e-01  2.10000000e-01  2.10000000e-01 
 2.20000000e-01  2.21553572e-02  2.20000000e-01  5.00000000e-01  2.20000000e-01  2.20000000e-01 
 2.30000000e-01  2.21599817e-02  2.30000000e-01  5.00000000e-01  2.30000000e-01  2.30000000e-01 
 2.40000000e-01  2.21660268e-02  2.40000000e-01  5.00000000e-01  2.40000000e-01  2.40000000e-01 
 2.50000000e-01  2.21739313e-02  2.50000000e-01  5.00000000e-01  2.50000000e-01  2.50000000e-01 
 2.60000000e-01  2.21842592e-02  2.60000000e-01  5.00000000e-01  2.60000000e-01  2.60000000e-01 
 2.70000000e-01  2.21977552e-02  2.70000000e-01  5.00000000e-01  2.70000000e-01  2.70000000e-01 
 2.80000000e-01  2.22153926e-02  2.80000000e-01  5.00000000e-01  2.80000000e-01  2.80000000e-01 
 2.90000000e-01  2.22384300e-02  2.90000000e-01  5.00000000e-01  2.90000000e-01  2.90000000e-01 
 3.00000000e-01  2.22685226e-02  3.00000000e-01  5.00000000e-01  3.00000000e-01  3.00000000e-01 
 3.10000000e-01  2.23078239e-02  3.10000000e-01  5.00000000e-01  3.10000000e-01  3.10000000e-01 
 3.20000000e-01  2.23591497e-02  3.20000000e-01  5.00000000e-01  3.20000000e-01  3.20000000e-01 
 3.30000000e-01  2.24261832e-02  3.30000000e-01  5.00000000e-01  3.30000000e-01  3.30000000e-01 
 3.40000000e-01  2.25137422e-02  3.40000000e-01  5.00000000e-01  3.40000000e-01  3.40000000e-01 
 3.50000000e-01  2.26281518e-02  3.50000000e-01  5.00000000e-01  3.50000000e-01  3.50000000e-01 
 3.60000000e-01  2.27777278e-02  3.60000000e-01  5.00000000e-01  3.60000000e-01  3.60000000e-01 
 3.70000000e-01  2.29734646e-02  3.70000000e-01  5.00000000e-01  3.70000000e-01  3.70000000e-01 
 3.80000000e-01  2.32299762e-02  3.80000000e-01  5.00000000e-01  3.80000000e-01  3.80000000e-01 
 3.90000000e-01  2.35668547e-02  3.90000000e-01  5.00000000e-01  3.90000000e-01  3.90000000e-01 
 4.00000000e-01  2.40106731e-02  4.00000000e-01  5.00000000e-01  4.00000000e-01  4.00000000e-01 
