 v-sweep         v(Vout)         v(V1)           v(V2)          
 0.00000000e+00  2.21403652e-02  0.00000000e+00  5.00000000e-01 
 1.00000000e-03  2.21403826e-02  1.00000000e-03  5.00000000e-01 
 2.00000000e-03  2.21403847e-02  2.00000000e-03  5.00000000e-01 
 3.00000000e-03  2.21403868e-02  3.00000000e-03  5.00000000e-01 
 4.00000000e-03  2.21403885e-02  4.00000000e-03  5.00000000e-01 
 5.00000000e-03  2.21403879e-02  5.00000000e-03  5.00000000e-01 
 6.00000000e-03  2.21403889e-02  6.00000000e-03  5.00000000e-01 
 7.00000000e-03  2.21403910e-02  7.00000000e-03  5.00000000e-01 
 8.00000000e-03  2.21403911e-02  8.00000000e-03  5.00000000e-01 
 9.00000000e-03  2.21403927e-02  9.00000000e-03  5.00000000e-01 
 1.00000000e-02  2.21403946e-02  1.00000000e-02  5.00000000e-01 
 1.10000000e-02  2.21403952e-02  1.10000000e-02  5.00000000e-01 
 1.20000000e-02  2.21403977e-02  1.20000000e-02  5.00000000e-01 
 1.30000000e-02  2.21403995e-02  1.30000000e-02  5.00000000e-01 
 1.40000000e-02  2.21404008e-02  1.40000000e-02  5.00000000e-01 
 1.50000000e-02  2.21404030e-02  1.50000000e-02  5.00000000e-01 
 1.60000000e-02  2.21404036e-02  1.60000000e-02  5.00000000e-01 
 1.70000000e-02  2.21404059e-02  1.70000000e-02  5.00000000e-01 
 1.80000000e-02  2.21404074e-02  1.80000000e-02  5.00000000e-01 
 1.90000000e-02  2.21404093e-02  1.90000000e-02  5.00000000e-01 
 2.00000000e-02  2.21404127e-02  2.00000000e-02  5.00000000e-01 
 2.10000000e-02  2.21404126e-02  2.10000000e-02  5.00000000e-01 
 2.20000000e-02  2.21404149e-02  2.20000000e-02  5.00000000e-01 
 2.30000000e-02  2.21404178e-02  2.30000000e-02  5.00000000e-01 
 2.40000000e-02  2.21404187e-02  2.40000000e-02  5.00000000e-01 
 2.50000000e-02  2.21404206e-02  2.50000000e-02  5.00000000e-01 
 2.60000000e-02  2.21404230e-02  2.60000000e-02  5.00000000e-01 
 2.70000000e-02  2.21404258e-02  2.70000000e-02  5.00000000e-01 
 2.80000000e-02  2.21404256e-02  2.80000000e-02  5.00000000e-01 
 2.90000000e-02  2.21404315e-02  2.90000000e-02  5.00000000e-01 
 3.00000000e-02  2.21404324e-02  3.00000000e-02  5.00000000e-01 
 3.10000000e-02  2.21404352e-02  3.10000000e-02  5.00000000e-01 
 3.20000000e-02  2.21404382e-02  3.20000000e-02  5.00000000e-01 
 3.30000000e-02  2.21404396e-02  3.30000000e-02  5.00000000e-01 
 3.40000000e-02  2.21404415e-02  3.40000000e-02  5.00000000e-01 
 3.50000000e-02  2.21404445e-02  3.50000000e-02  5.00000000e-01 
 3.60000000e-02  2.21404472e-02  3.60000000e-02  5.00000000e-01 
 3.70000000e-02  2.21404499e-02  3.70000000e-02  5.00000000e-01 
 3.80000000e-02  2.21404540e-02  3.80000000e-02  5.00000000e-01 
 3.90000000e-02  2.21404565e-02  3.90000000e-02  5.00000000e-01 
 4.00000000e-02  2.21404593e-02  4.00000000e-02  5.00000000e-01 
 4.10000000e-02  2.21404633e-02  4.10000000e-02  5.00000000e-01 
 4.20000000e-02  2.21404653e-02  4.20000000e-02  5.00000000e-01 
 4.30000000e-02  2.21404717e-02  4.30000000e-02  5.00000000e-01 
 4.40000000e-02  2.21404722e-02  4.40000000e-02  5.00000000e-01 
 4.50000000e-02  2.21404777e-02  4.50000000e-02  5.00000000e-01 
 4.60000000e-02  2.21404810e-02  4.60000000e-02  5.00000000e-01 
 4.70000000e-02  2.21404844e-02  4.70000000e-02  5.00000000e-01 
 4.80000000e-02  2.21404881e-02  4.80000000e-02  5.00000000e-01 
 4.90000000e-02  2.21404909e-02  4.90000000e-02  5.00000000e-01 
 5.00000000e-02  2.21404976e-02  5.00000000e-02  5.00000000e-01 
 5.10000000e-02  2.21405010e-02  5.10000000e-02  5.00000000e-01 
 5.20000000e-02  2.21405050e-02  5.20000000e-02  5.00000000e-01 
 5.30000000e-02  2.21405089e-02  5.30000000e-02  5.00000000e-01 
 5.40000000e-02  2.21405136e-02  5.40000000e-02  5.00000000e-01 
 5.50000000e-02  2.21405193e-02  5.50000000e-02  5.00000000e-01 
 5.60000000e-02  2.21405238e-02  5.60000000e-02  5.00000000e-01 
 5.70000000e-02  2.21405292e-02  5.70000000e-02  5.00000000e-01 
 5.80000000e-02  2.21405339e-02  5.80000000e-02  5.00000000e-01 
 5.90000000e-02  2.21405385e-02  5.90000000e-02  5.00000000e-01 
 6.00000000e-02  2.21405453e-02  6.00000000e-02  5.00000000e-01 
 6.10000000e-02  2.21405504e-02  6.10000000e-02  5.00000000e-01 
 6.20000000e-02  2.21405560e-02  6.20000000e-02  5.00000000e-01 
 6.30000000e-02  2.21405584e-02  6.30000000e-02  5.00000000e-01 
 6.40000000e-02  2.21405661e-02  6.40000000e-02  5.00000000e-01 
 6.50000000e-02  2.21405747e-02  6.50000000e-02  5.00000000e-01 
 6.60000000e-02  2.21405799e-02  6.60000000e-02  5.00000000e-01 
 6.70000000e-02  2.21405873e-02  6.70000000e-02  5.00000000e-01 
 6.80000000e-02  2.21405930e-02  6.80000000e-02  5.00000000e-01 
 6.90000000e-02  2.21405988e-02  6.90000000e-02  5.00000000e-01 
 7.00000000e-02  2.21406062e-02  7.00000000e-02  5.00000000e-01 
 7.10000000e-02  2.21406151e-02  7.10000000e-02  5.00000000e-01 
 7.20000000e-02  2.21406214e-02  7.20000000e-02  5.00000000e-01 
 7.30000000e-02  2.21406308e-02  7.30000000e-02  5.00000000e-01 
 7.40000000e-02  2.21406383e-02  7.40000000e-02  5.00000000e-01 
 7.50000000e-02  2.21406455e-02  7.50000000e-02  5.00000000e-01 
 7.60000000e-02  2.21406548e-02  7.60000000e-02  5.00000000e-01 
 7.70000000e-02  2.21406635e-02  7.70000000e-02  5.00000000e-01 
 7.80000000e-02  2.21406705e-02  7.80000000e-02  5.00000000e-01 
 7.90000000e-02  2.21406820e-02  7.90000000e-02  5.00000000e-01 
 8.00000000e-02  2.21406902e-02  8.00000000e-02  5.00000000e-01 
 8.10000000e-02  2.21407005e-02  8.10000000e-02  5.00000000e-01 
 8.20000000e-02  2.21407098e-02  8.20000000e-02  5.00000000e-01 
 8.30000000e-02  2.21407187e-02  8.30000000e-02  5.00000000e-01 
 8.40000000e-02  2.21407291e-02  8.40000000e-02  5.00000000e-01 
 8.50000000e-02  2.21407391e-02  8.50000000e-02  5.00000000e-01 
 8.60000000e-02  2.21407520e-02  8.60000000e-02  5.00000000e-01 
 8.70000000e-02  2.21407610e-02  8.70000000e-02  5.00000000e-01 
 8.80000000e-02  2.21407742e-02  8.80000000e-02  5.00000000e-01 
 8.90000000e-02  2.21407853e-02  8.90000000e-02  5.00000000e-01 
 9.00000000e-02  2.21407972e-02  9.00000000e-02  5.00000000e-01 
 9.10000000e-02  2.21408076e-02  9.10000000e-02  5.00000000e-01 
 9.20000000e-02  2.21408223e-02  9.20000000e-02  5.00000000e-01 
 9.30000000e-02  2.21408344e-02  9.30000000e-02  5.00000000e-01 
 9.40000000e-02  2.21408485e-02  9.40000000e-02  5.00000000e-01 
 9.50000000e-02  2.21408641e-02  9.50000000e-02  5.00000000e-01 
 9.60000000e-02  2.21408766e-02  9.60000000e-02  5.00000000e-01 
 9.70000000e-02  2.21408908e-02  9.70000000e-02  5.00000000e-01 
 9.80000000e-02  2.21409067e-02  9.80000000e-02  5.00000000e-01 
 9.90000000e-02  2.21409218e-02  9.90000000e-02  5.00000000e-01 
 1.00000000e-01  2.21409372e-02  1.00000000e-01  5.00000000e-01 
 1.01000000e-01  2.21409559e-02  1.01000000e-01  5.00000000e-01 
 1.02000000e-01  2.21409703e-02  1.02000000e-01  5.00000000e-01 
 1.03000000e-01  2.21409886e-02  1.03000000e-01  5.00000000e-01 
 1.04000000e-01  2.21410055e-02  1.04000000e-01  5.00000000e-01 
 1.05000000e-01  2.21410229e-02  1.05000000e-01  5.00000000e-01 
 1.06000000e-01  2.21410415e-02  1.06000000e-01  5.00000000e-01 
 1.07000000e-01  2.21410610e-02  1.07000000e-01  5.00000000e-01 
 1.08000000e-01  2.21410803e-02  1.08000000e-01  5.00000000e-01 
 1.09000000e-01  2.21411001e-02  1.09000000e-01  5.00000000e-01 
 1.10000000e-01  2.21411226e-02  1.10000000e-01  5.00000000e-01 
 1.11000000e-01  2.21411438e-02  1.11000000e-01  5.00000000e-01 
 1.12000000e-01  2.21411656e-02  1.12000000e-01  5.00000000e-01 
 1.13000000e-01  2.21411887e-02  1.13000000e-01  5.00000000e-01 
 1.14000000e-01  2.21412107e-02  1.14000000e-01  5.00000000e-01 
 1.15000000e-01  2.21412341e-02  1.15000000e-01  5.00000000e-01 
 1.16000000e-01  2.21412595e-02  1.16000000e-01  5.00000000e-01 
 1.17000000e-01  2.21412837e-02  1.17000000e-01  5.00000000e-01 
 1.18000000e-01  2.21413093e-02  1.18000000e-01  5.00000000e-01 
 1.19000000e-01  2.21413347e-02  1.19000000e-01  5.00000000e-01 
 1.20000000e-01  2.21413618e-02  1.20000000e-01  5.00000000e-01 
 1.21000000e-01  2.21413902e-02  1.21000000e-01  5.00000000e-01 
 1.22000000e-01  2.21414199e-02  1.22000000e-01  5.00000000e-01 
